,name,Worldwide_Box_Office,number_of_movies,average_box,link
5722,Idir Ben Addi,"$1,528,525",1,"$1,528,525",https://www.the-numbers.com/person/1720670401-Idir-Ben-Addi
5723,Paris Hilton,"$1,527,696",1,"$1,527,696",https://www.the-numbers.com/person/65900401-Paris-Hilton
5724,Christine Lakin,"$1,527,696",1,"$1,527,696",https://www.the-numbers.com/person/81260401-Christine-Lakin
5725,John C. McGinley,"$1,526,697",3,"$508,899",https://www.the-numbers.com/person/95840401-John-C-McGinley
5726,Sidarth Malhotra,"$1,523,243",2,"$761,622",https://www.the-numbers.com/person/1096230401-Sidarth-Malhotra
5727,Liza Koshy,"$1,518,084",2,"$759,042",https://www.the-numbers.com/person/1272430401-Liza-Koshy
5728,Irene Vetere,"$1,515,067",1,"$1,515,067",https://www.the-numbers.com/person/1549200401-Irene-Vetere
5729,Mauro Lamantia,"$1,515,067",1,"$1,515,067",https://www.the-numbers.com/person/1549180401-Mauro-Lamantia
5730,Giovanni Toscano,"$1,515,067",1,"$1,515,067",https://www.the-numbers.com/person/1549190401-Giovanni-Toscano
5731,Paulina Gaitan,"$1,513,388",2,"$756,694",https://www.the-numbers.com/person/52060401-Paulina-Gaitan
5732,Cesar Ramos,"$1,513,388",1,"$1,513,388",https://www.the-numbers.com/person/118180401-Cesar-Ramos
5733,Anais Demoustier,"$1,512,455",4,"$378,114",https://www.the-numbers.com/person/273470401-Anais-Demoustier
5734,Rupert Graves,"$1,506,011",2,"$753,006",https://www.the-numbers.com/person/57530401-Rupert-Graves
5735,Jennifer Ellison,"$1,504,960",1,"$1,504,960",https://www.the-numbers.com/person/833310401-Jennifer-Ellison
5736,Adan Canto,"$1,503,996",2,"$751,998",https://www.the-numbers.com/person/810060401-Adan-Canto
5737,Magnus Millang,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1348970401-Magnus-Millang
5738,Anne Gry Henningsen,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1348980401-Anne-Gry-Henningsen
5739,Helene Reingaard Neumann,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1327940401-Helene-Reingaard-Neumann
5740,Julie Agnete Vang,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1348990401-Julie-Agnete-Vang
5741,Lars Ranthe,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/742850401-Lars-Ranthe
5742,Martha Sofie WallstrÃ¸m Hansen,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1348960401-Martha-Sofie-WallstrA-m-Hansen
5743,Sebastian GrÃ¸nnegaard Milbrat,"$1,501,262",1,"$1,501,262",https://www.the-numbers.com/person/1349000401-Sebastian-GrA-nnegaard-Milbrat
5744,Mary Ann Mobley,"$1,500,000",1,"$1,500,000",https://www.the-numbers.com/person/100450401-Mary-Ann-Mobley
5745,Joel Smallbone,"$1,499,605",2,"$749,803",https://www.the-numbers.com/person/818580401-Joel-Smallbone
5746,Maria Alexandra Lungu,"$1,486,659",1,"$1,486,659",https://www.the-numbers.com/person/1127910401-Maria-Alexandra-Lungu
5747,Damon Herriman,"$1,484,089",3,"$494,696",https://www.the-numbers.com/person/258200401-Damon-Herriman
5748,Vincent Kartheiser,"$1,481,211",3,"$493,737",https://www.the-numbers.com/person/75250401-Vincent-Kartheiser
5749,Eili Harboe,"$1,471,656",1,"$1,471,656",https://www.the-numbers.com/person/1197120401-Eili-Harboe
5750,Steven Robertson,"$1,471,229",1,"$1,471,229",https://www.the-numbers.com/person/122570401-Steven-Robertson
5751,Agyness Deyn,"$1,470,176",1,"$1,470,176",https://www.the-numbers.com/person/164370401-Agyness-Deyn
5752,Melanie Stone,"$1,462,977",2,"$731,489",https://www.the-numbers.com/person/1185550401-Melanie-Stone
5753,Allie Jennings,"$1,462,977",1,"$1,462,977",https://www.the-numbers.com/person/1492400401-Allie-Jennings
5754,Elise Jones,"$1,462,977",1,"$1,462,977",https://www.the-numbers.com/person/1492410401-Elise-Jones
5755,Sarah Davenport,"$1,462,977",1,"$1,462,977",https://www.the-numbers.com/person/1492390401-Sarah-Davenport
5756,Lou Roy-Lecollinet,"$1,460,552",1,"$1,460,552",https://www.the-numbers.com/person/1043120401-Lou-Roy-Lecollinet
5757,Quentin Dolmaire,"$1,460,552",2,"$730,276",https://www.the-numbers.com/person/1043110401-Quentin-Dolmaire
5758,Roschdy Zem,"$1,459,269",1,"$1,459,269",https://www.the-numbers.com/person/157060401-Roschdy-Zem
5759,Sami Bouajila,"$1,459,269",1,"$1,459,269",https://www.the-numbers.com/person/17220401-Sami-Bouajila
5760,Hafsia Herzi,"$1,457,550",3,"$485,850",https://www.the-numbers.com/person/292310401-Hafsia-Herzi
5761,Daniel Padilla,"$1,456,388",3,"$485,463",https://www.the-numbers.com/person/862470401-Daniel-Padilla
5762,Kathryn Bernardo,"$1,456,388",3,"$485,463",https://www.the-numbers.com/person/862480401-Kathryn-Bernardo
5763,Antony Starr,"$1,456,312",1,"$1,456,312",https://www.the-numbers.com/person/466700401-Antony-Starr
5764,Felicity Price,"$1,456,312",1,"$1,456,312",https://www.the-numbers.com/person/466690401-Felicity-Price
5765,Elio Germano,"$1,456,303",2,"$728,152",https://www.the-numbers.com/person/54020401-Elio-Germano
5766,Devin Druid,"$1,449,170",2,"$724,585",https://www.the-numbers.com/person/885440401-Devin-Druid
5767,Duel Farnes,"$1,445,140",1,"$1,445,140",https://www.the-numbers.com/person/46530401-Duel-Farnes
5768,Cory Hardrict,"$1,441,242",5,"$288,248",https://www.the-numbers.com/person/370500401-Cory-Hardrict
5769,Jeremy Meeks,"$1,440,975",2,"$720,488",https://www.the-numbers.com/person/1872350401-Jeremy-Meeks
5770,Patti Harrison,"$1,436,324",1,"$1,436,324",https://www.the-numbers.com/person/1531630401-Patti-Harrison
5771,Shane Carruth,"$1,435,127",3,"$478,376",https://www.the-numbers.com/person/24900401-Shane-Carruth
5772,Matt Czuchry,"$1,429,453",1,"$1,429,453",https://www.the-numbers.com/person/606050401-Matt-Czuchry
5773,Rosario Majorana,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726870401-Rosario-Majorana
5774,Antonio Frasca,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726840401-Antonio-Frasca
5775,Vincenzo Gallo,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726880401-Vincenzo-Gallo
5776,Cosimo Rega,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726810401-Cosimo-Rega
5777,Juan Dario Bonetti,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726850401-Juan-Dario-Bonetti
5778,Francesco de Masi,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726890401-Francesco-de-Masi
5779,Salvatore Striano,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726820401-Salvatore-Striano
5780,Vittorio Parrella,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726860401-Vittorio-Parrella
5781,Gennaro Solito,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726900401-Gennaro-Solito
5782,Giovanni Arcuri,"$1,428,574",1,"$1,428,574",https://www.the-numbers.com/person/726830401-Giovanni-Arcuri
5783,Sarah Butler,"$1,423,132",5,"$284,626",https://www.the-numbers.com/person/186410401-Sarah-Butler
5784,Joanne Froggatt,"$1,422,153",2,"$711,077",https://www.the-numbers.com/person/250490401-Joanne-Froggatt
5785,Lali Esposito,"$1,422,122",1,"$1,422,122",https://www.the-numbers.com/person/1530680401-Lali-Esposito
