,name,Worldwide_Box_Office,number_of_movies,average_box,link
2627,Still Rolling Productions,"$6,046,104",2,"$7,691,967",https://www.the-numbers.com/movies/production-company/Still-Rolling-Productions
2628,Reisman Productions,"$6,046,104",1,"$7,691,967",https://www.the-numbers.com/movies/production-company/Reisman-Productions
2629,Harrison Productions,"$6,046,104",1,"$7,691,967",https://www.the-numbers.com/movies/production-company/Harrison-Productions
2630,Barnette / Thayer,"$6,008,677",1,"$24,742,844",https://www.the-numbers.com/movies/production-company/Barnette-Thayer
2631,Entertainment Films,"$6,003,262",2,"$36,672,179",https://www.the-numbers.com/movies/production-company/Entertainment-Films
2632,Material Entertainment,"$6,003,262",1,"$33,512,260",https://www.the-numbers.com/movies/production-company/Material-Entertainment
2633,Woestijnvis,"$6,002,684",1,"$11,401,518",https://www.the-numbers.com/movies/production-company/Woestijnvis
2634,Such Much Films,"$6,002,451",1,"$11,495,204",https://www.the-numbers.com/movies/production-company/Such-Much-Films
2635,Judi Levine,"$6,002,451",1,"$11,495,204",https://www.the-numbers.com/movies/production-company/Judi-Levine
2636,Stephen Nemeth,"$6,002,451",1,"$11,495,204",https://www.the-numbers.com/movies/production-company/Stephen-Nemeth
2637,Team Effort Films,"$6,000,000",2,"$6,000,000",https://www.the-numbers.com/movies/production-company/Team-Effort-Films
2638,Jon Kilik,"$5,990,075",1,"$22,754,472",https://www.the-numbers.com/movies/production-company/Jon-Kilik
2639,Lightbox ,"$5,975,770",6,"$8,376,057",https://www.the-numbers.com/movies/production-company/Lightbox
2640,Lightfuse,"$5,958,315",1,"$9,363,210",https://www.the-numbers.com/movies/production-company/Lightfuse
2641,Gettaway,"$5,958,315",1,"$9,363,210",https://www.the-numbers.com/movies/production-company/Gettaway
2642,Graceworks Pictures,"$5,942,152",2,"$6,020,368",https://www.the-numbers.com/movies/production-company/Graceworks-Pictures
2643,Calvary Pictures,"$5,942,152",2,"$6,020,368",https://www.the-numbers.com/movies/production-company/Calvary-Pictures
2644,War Party,"$5,913,504",5,"$8,954,787",https://www.the-numbers.com/movies/production-company/War-Party
2645,Thorn EMI,"$5,900,000",1,"$12,900,000",https://www.the-numbers.com/movies/production-company/Thorn-EMI
2646,The Orchard,"$5,893,527",29,"$16,107,224",https://www.the-numbers.com/movies/production-company/Orchard-The
2647,Red Bull Media House,"$5,885,772",8,"$7,709,883",https://www.the-numbers.com/movies/production-company/Red-Bull-Media-House
2648,United Entertainment,"$5,875,487",2,"$747,640,558",https://www.the-numbers.com/movies/production-company/United-Entertainment
2649,Beijing Jingxi Culture and Tourism Company,"$5,875,487",1,"$727,846,450",https://www.the-numbers.com/movies/production-company/Beijing-Jingxi-Culture-and-Tourism-Company
2650,Pathe Distribution,"$5,852,121",2,"$14,804,942",https://www.the-numbers.com/movies/production-company/Pathe-Distribution
2651,Sunbow,"$5,849,647",1,"$5,849,647",https://www.the-numbers.com/movies/production-company/Sunbow
